"paper.id","meta.analysis.paper","meta.analysis.id","meta.analysis.year","study","study.year","eff.size.measure","grouped_es","eff.size","var.eff.size","se.eff.size","z","key","study2","dup"
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts51",1996,"z.r","Zr",0.528194829,0.023255814,0.152498570485103,3.4636051165581,"7_munguia-rosas.et.al.2011.ecoletts51_1996","munguiarosasetal2011ecoletts51_1996",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts79",1997,"z.r","Zr",-1.589026915,0.005988024,0.077382323562943,-20.5347531818101,"7_munguia-rosas.et.al.2011.ecoletts79_1997","munguiarosasetal2011ecoletts79_1997",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts15",1998,"z.r","Zr",-0.230106934,0.014285714,0.119522859738211,-1.92521275431328,"7_munguia-rosas.et.al.2011.ecoletts15_1998","munguiarosasetal2011ecoletts15_1998",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts4.69",1998,"z.r","Zr",-0.3803194,0.000776398,0.0278639193223064,-13.649171015778,"7_munguia-rosas.et.al.2011.ecoletts4.69_1998","munguiarosasetal2011ecoletts469_1998",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts54",1998,"z.r","Zr",-0.158931325,0.00101626,0.03187883310286,-4.98548125921653,"7_munguia-rosas.et.al.2011.ecoletts54_1998","munguiarosasetal2011ecoletts54_1998",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts80",1998,"z.r","Zr",-0.775298706,0.004524887,0.0672672803077395,-11.5256437075069,"7_munguia-rosas.et.al.2011.ecoletts80_1998","munguiarosasetal2011ecoletts80_1998",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts72",1999,"z.r","Zr",-0.487802805,0.009345794,0.0966736468744197,-5.0458715562232,"7_munguia-rosas.et.al.2011.ecoletts72_1999","munguiarosasetal2011ecoletts72_1999",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts3",2000,"z.r","Zr",-0.09831715,0.001901141,0.0436020756386666,-2.25487315821295,"7_munguia-rosas.et.al.2011.ecoletts3_2000","munguiarosasetal2011ecoletts3_2000",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts39",2000,"z.r","Zr",-0.194652472,0.001111111,0.0333333316666666,-5.83957445197873,"7_munguia-rosas.et.al.2011.ecoletts39_2000","munguiarosasetal2011ecoletts39_2000",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts5",2000,"z.r","Zr",-0.02200355,0.001748252,0.0418121035108257,-0.526248338457858,"7_munguia-rosas.et.al.2011.ecoletts5_2000","munguiarosasetal2011ecoletts5_2000",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts66",2000,"z.r","Zr",-0.08363143,0.002159827,0.0464739389335572,-1.79953393060929,"7_munguia-rosas.et.al.2011.ecoletts66_2000","munguiarosasetal2011ecoletts66_2000",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts70",2000,"z.r","Zr",-0.945130327,0.015873016,0.125988158173695,-7.50173937535451,"7_munguia-rosas.et.al.2011.ecoletts70_2000","munguiarosasetal2011ecoletts70_2000",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts83",2000,"z.r","Zr",0.088228219,0.037037037,0.19245008963365,0.458447274137165,"7_munguia-rosas.et.al.2011.ecoletts83_2000","munguiarosasetal2011ecoletts83_2000",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts83",2000,"z.r","Zr",0.261823156,0.083333333,0.288675134017463,0.906982019394028,"7_munguia-rosas.et.al.2011.ecoletts83_2000","munguiarosasetal2011ecoletts83_2000",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts83",2000,"z.r","Zr",0.233128655,0.017857143,0.133630621490735,1.74457510112055,"7_munguia-rosas.et.al.2011.ecoletts83_2000","munguiarosasetal2011ecoletts83_2000",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts31",2001,"z.r","Zr",0.296383998,0.014705882,0.121267811062953,2.44404508832225,"7_munguia-rosas.et.al.2011.ecoletts31_2001","munguiarosasetal2011ecoletts31_2001",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts11",2002,"z.r","Zr",0.049039273,0.04,0.2,0.245196365,"7_munguia-rosas.et.al.2011.ecoletts11_2002","munguiarosasetal2011ecoletts11_2002",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts11",2002,"z.r","Zr",0.156580754,0.023809524,0.154303350579305,1.01475926097615,"7_munguia-rosas.et.al.2011.ecoletts11_2002","munguiarosasetal2011ecoletts11_2002",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts25",2002,"z.r","Zr",-0.110493855,0.005649718,0.0751646060323607,-1.47002506675055,"7_munguia-rosas.et.al.2011.ecoletts25_2002","munguiarosasetal2011ecoletts25_2002",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts6",2002,"z.r","Zr",0.425177078,0.012820513,0.113227704207053,3.75506225245459,"7_munguia-rosas.et.al.2011.ecoletts6_2002","munguiarosasetal2011ecoletts6_2002",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts13",2003,"z.r","Zr",0.538784479,0.014492754,0.120385854650785,4.47547995205004,"7_munguia-rosas.et.al.2011.ecoletts13_2003","munguiarosasetal2011ecoletts13_2003",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts85",2003,"z.r","Zr",-0.354092529,0.002267574,0.0476190508095237,-7.43594261079186,"7_munguia-rosas.et.al.2011.ecoletts85_2003","munguiarosasetal2011ecoletts85_2003",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts2",2004,"z.r","Zr",-0.146969469,0.002610966,0.0510976124686859,-2.87624923943496,"7_munguia-rosas.et.al.2011.ecoletts2_2004","munguiarosasetal2011ecoletts2_2004",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts35",2004,"z.r","Zr",0.847955755,0.027027027,0.164398987223158,5.15791349644369,"7_munguia-rosas.et.al.2011.ecoletts35_2004","munguiarosasetal2011ecoletts35_2004",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts46",2006,"z.r","Zr",0.148283323,0.010416667,0.102062074248959,1.45287389161124,"7_munguia-rosas.et.al.2011.ecoletts46_2006","munguiarosasetal2011ecoletts46_2006",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts32",2006,"z.r","Zr",-0.30512976,0.005780347,0.0760285933054137,-4.01335532770239,"7_munguia-rosas.et.al.2011.ecoletts32_2006","munguiarosasetal2011ecoletts32_2006",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts33",2006,"z.r","Zr",-0.36772478,0.017857143,0.133630621490735,-2.75180026776644,"7_munguia-rosas.et.al.2011.ecoletts33_2006","munguiarosasetal2011ecoletts33_2006",FALSE
